City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Melfi,IT,2022-05-08 17:14:31,40.9965,15.6514,58.5,76,55,5.66
221,Hobyo,SO,2022-05-08 17:14:32,5.3505,48.5268,83.61,82,87,19.77
222,Dwarka,IN,2022-05-08 17:14:33,22.2394,68.9678,82.56,76,0,12.3
223,Balkanabat,TM,2022-05-08 17:14:33,39.5108,54.3671,67.01,67,100,11.07
224,Jijiga,ET,2022-05-08 17:14:34,9.35,42.8,72.46,35,28,9.91
225,Aranos,NA,2022-05-08 17:14:34,-24.1333,19.1167,58.78,25,0,8.61
226,Necochea,AR,2022-05-08 17:14:34,-38.5473,-58.7368,73.45,50,1,20.4
227,Morondava,MG,2022-05-08 17:14:35,-20.2833,44.2833,77.92,76,0,12.01
228,Rognan,NO,2022-05-08 17:14:35,67.0953,15.3878,40.05,86,100,4.65
229,Marsa Matruh,EG,2022-05-08 17:10:08,31.3525,27.2453,67.73,67,11,21.99
230,Yenagoa,NG,2022-05-08 17:15:36,4.9247,6.2642,81.39,83,100,3.8
231,Zimnicea,RO,2022-05-08 17:15:37,43.6667,25.3667,60.66,60,75,7.16
232,Jumla,NP,2022-05-08 17:15:37,29.2747,82.1838,52.59,86,41,1.45
233,Marienburg,PL,2022-05-08 17:15:38,54.0359,19.0266,51.87,74,56,12.48
234,Telimele,GN,2022-05-08 17:15:38,10.9167,-13.3333,78.1,74,71,5.68
235,Inongo,CD,2022-05-08 17:15:38,-1.95,18.2667,76.14,83,100,7.31
236,Gazojak,TM,2022-05-08 17:15:39,41.1875,61.4036,82.35,35,100,20.62
237,Brae,GB,2022-05-08 17:15:39,60.3964,-1.353,48.65,87,100,17.02
238,Sao Filipe,CV,2022-05-08 17:15:40,14.8961,-24.4956,72.7,79,7,10.76
239,Perni,GR,2022-05-08 17:15:40,41.0011,24.6356,65.46,52,0,4.61
240,Mangrol,IN,2022-05-08 17:15:41,21.1167,70.1167,82.47,79,1,15.84
241,Kolyvan,RU,2022-05-08 17:15:41,55.3053,82.7391,38.82,77,75,3.98
242,Dinar,TR,2022-05-08 17:15:42,38.065,30.1656,64.36,44,20,4.05
243,Vista Hermosa,MX,2022-05-08 17:15:42,19.5167,-99.2167,79.56,26,0,4.61
244,Omboue,GA,2022-05-08 17:13:50,-1.5746,9.2618,80.04,85,67,7.74
245,Padang,ID,2022-05-08 17:15:43,-0.9492,100.3543,78.85,85,99,3.67
246,Vila Velha,BR,2022-05-08 17:12:14,-20.3297,-40.2925,76.95,78,75,18.41
247,Baghdad,IQ,2022-05-08 17:13:00,33.3406,44.4009,76.91,27,0,5.75
248,Sandomierz,PL,2022-05-08 17:15:43,50.6827,21.749,66.65,57,53,1.99
249,Punta Cardon,VE,2022-05-08 17:15:44,11.6581,-70.215,84.54,68,72,18.19
250,Aasiaat,GL,2022-05-08 17:15:44,68.7098,-52.8699,26.73,77,23,4.72
251,Nzega,RW,2022-05-08 17:15:45,-2.479,29.5564,57.04,97,78,3.42
252,Puerto Ayacucho,VE,2022-05-08 17:15:45,5.6639,-67.6236,87.19,60,57,5.79
253,Jibuti,DJ,2022-05-08 17:15:46,11.5,42.5,83.21,52,33,11.45
254,Jaisalmer,IN,2022-05-08 17:11:54,26.9147,70.9181,96.57,13,0,16.44
255,Uhlove,UA,2022-05-08 17:15:46,44.8215,33.6045,55.02,73,13,3.11
256,Shakawe,BW,2022-05-08 17:15:47,-18.3667,21.85,70.47,25,2,3.96
257,Hearst,CA,2022-05-08 17:15:48,49.6835,-83.6665,68.25,21,84,11.14
258,Adamas,GR,2022-05-08 17:15:48,36.7333,24.4333,61.29,78,100,15.79
259,Galle,LK,2022-05-08 17:15:49,6.0367,80.217,82.63,85,100,15.23
260,Pishva,IR,2022-05-08 17:15:50,35.308,51.7267,75.4,11,41,17.02
261,Racale,IT,2022-05-08 17:15:50,39.9631,18.0938,63.05,81,74,10.18
262,Ilhabela,BR,2022-05-08 17:15:32,-23.7781,-45.3581,73.11,77,29,5.5
263,Pavino,RU,2022-05-08 17:15:51,59.1139,46.1414,53.58,63,80,12.93
264,Kita,ML,2022-05-08 17:15:53,13.0349,-9.4895,96.96,24,57,3.47
265,Mazagao,BR,2022-05-08 17:15:53,-0.115,-51.2894,87.85,84,94,6.73
266,Axim,GH,2022-05-08 17:15:54,4.8699,-2.2405,83.34,74,99,8.97
267,Herouville-Saint-Clair,FR,2022-05-08 17:15:54,49.2109,-0.3065,67.82,77,85,9.22
268,Kalmunai,LK,2022-05-08 17:15:55,7.4167,81.8167,84.06,77,100,5.12
269,Salamanca,ES,2022-05-08 17:11:04,40.8333,-6.0,77.0,35,43,4.0
270,Rorvik,NO,2022-05-08 17:15:56,64.8621,11.2373,44.71,76,75,16.11
271,Pizarro,CO,2022-05-08 17:15:56,4.9533,-77.366,83.39,78,58,5.68
272,Manta,EC,2022-05-08 17:15:57,-0.95,-80.7333,80.38,78,100,4.61
273,Faya,SA,2022-05-08 17:15:58,18.3851,42.4509,69.91,55,3,4.38
274,Kalemie,CD,2022-05-08 17:15:58,-5.9475,29.1947,74.1,78,82,3.31
275,Ochakiv,UA,2022-05-08 17:15:59,46.6128,31.5498,54.79,60,10,9.28
276,Mont-De-Marsan,FR,2022-05-08 17:17:00,44.0,-0.6667,73.44,60,78,8.05
277,Rassvet,RU,2022-05-08 17:17:00,46.8333,40.75,54.36,49,98,1.97
278,Iquique,CL,2022-05-08 17:17:01,-20.2208,-70.1431,68.04,70,3,7.99
279,Maceio,BR,2022-05-08 17:17:01,-9.6658,-35.7353,83.64,65,75,11.5
280,Marfino,RU,2022-05-08 17:17:02,55.7028,37.3822,55.31,76,75,11.18
281,Buinsk,RU,2022-05-08 17:17:02,54.95,48.2833,50.59,52,42,7.87
282,Suez,EG,2022-05-08 17:17:03,29.9737,32.5263,79.66,17,96,12.26
283,Vestmannaeyjar,IS,2022-05-08 17:17:03,63.4427,-20.2734,47.39,100,100,27.63
284,Kargil,IN,2022-05-08 17:17:04,34.5667,76.1,49.66,38,53,3.76
285,Villamontes,BO,2022-05-08 17:17:05,-21.25,-63.5,77.54,47,96,4.7
286,Birin,NP,2022-05-08 17:17:05,26.8865,88.0718,62.69,79,59,5.35
287,Mitsamiouli,KM,2022-05-08 17:17:06,-11.3847,43.2844,81.54,78,14,8.39
288,Diego De Almagro,CL,2022-05-08 17:17:06,-26.3667,-70.05,65.98,41,9,7.47
289,Lovozero,RU,2022-05-08 17:17:07,68.005,35.0117,31.84,76,80,1.43
290,Carballo,ES,2022-05-08 17:17:08,43.213,-8.691,81.82,63,34,4.18
